Post_ID,Post_Title,Post_Content,Post_Author,Post_Author_Rank,Post_Date,Post_Category,Number_of_Comments,Post_URL
PTSD-1,cPTSD and anxiety,"Hi,I'm struggling with cPTSD and am having panic attacks, low mood and anxiety. My partner was an alcoholic for over 10 years and apart from being a nightmare to live with, was verbally abusive to me and my daughter. After I walked out, they gave up. I have moved back home, but things aren't good. They are like a new person and have really sorted their life out, but I am suffering from small panic attacks in the night and sometimes during the day. We don't share a room yet. Sometimes I am fine when they are around me, but other times I am not. Is this going to stay with me forever or does it improve? I'm really trying to make it work.",Chriss,Community Member,08-07-2025,PTSD and trauma,4,/t5/ptsd-and-trauma/cptsd-and-anxiety/td-p/612042
PTSD-2,Birthday card from abusive family,"Hi everyone! So yesterday I turned 34. Pretty exciting another year wider. Anyway.. so i had a great day. But... I got a card from my abusive famiky. And it brought up a million emotions. I cried. I felt angry. Everything. Grief all over again. I wanted to ask what do you think the reason was sending the card? I don't understand honestly. Plus its a huge invasion of privacy and I never actually asked for a card or disclosed my address to them. They have been stalking me for years online and found out somehow. So yeah. Look what are your thoughts guys!? Cause I don't know what to think. Its a strange card with ""love bombing"" language. I just cant even understand it. After all the abuse they caused - why act innocent.",Rach28,Community Member,08-07-2025,PTSD and trauma,3,/t5/ptsd-and-trauma/birthday-card-from-abusive-family/td-p/612035
PTSD-3,Overcoming Panic Disorder.,"Been suffering with Panic attacks recently. Have suffered with them since I was a teenager. I have chosen to keep off the ale and certainly any drugs - why I thought they would help with my paranoia is beyond me. Anyway I spoke to my psychologist and he reminded me that healing from trauma is not a destination it is a lifelong process. You exercise your brain as you would your body in a gym. I know there are quite a number of people on here continuing to suffer, so as an almost 60 year old here is my advice to those like me who feel trapped in mental pain. 1. Dont bottle it up inside - speak to someone about how you feel without guilt or embarrassment. 2. Take advantage of the multitude of resources out there on the internet. Loads of podcasts, websites and audiobooks that will help you develop strategies to overcome your demons. 3. KEEP OFF the ale or any drug that provides only short term relief. Self medicating will only worsen your situation. 4. Get to your doctor sharpish and tell him how you feel. Anti-depressants plus a referral to a psych might be what you need. 5. Try and maintain a healthy lifestyle - exercise and diet are crucial. Meditation is also a great tool to help combat depression and anxiety. 6. You are not alone. There are millions suffering from mental health problems and the number grows each year. Do not be fearful of any stigma attached to mental health.",punk rock warlord,Community Member,04-07-2025,PTSD and trauma,1,/t5/ptsd-and-trauma/overcoming-panic-disorder/td-p/611892
PTSD-4,Struggling to move on,"(Safe: in my room listening to music) How do you even move on from all the things people have told you as a child? Growing up, my parents weren’t involved in my life. They used to criticise me, say that I’m a bad person, and tell me that I have to do certain things to make them happy. They didn’t care to understand or show any empathy whenever I did something wrong. Even something as small as not finishing my dinner or breaking a glass would incite a lot of criticism. They’d ask me things like ‘why are you always like this?’ and ‘why can’t you be more careful?’ They’d make me feel like a bad person and that I could never change. They’d also make me feel like I was responsible for making them happy - like I had to do something in order to please them. If I didn’t do something, like get good grades in class, they’d withhold any form of affection and ask why I didn’t do any better. And then they tried justifying their abuse, saying that I should be grateful that they at least give me the basic necessities, like food and clothing. They said I shouldn’t feel upset because I could have had it worse, which made me doubt my emotions and feel like they weren’t valid. It’s not fair my parents broke my self-esteem. They made me believe I deserved to suffer, like I had to keep hurting myself because I didn’t deserve anything good. I’m angry that they made me feel I could never achieve anything no matter how hard I try. I’m sad that I struggle to even move on in life, while everyone else is in uni and getting jobs. I’m sad that I’m stuck cleaning up the mess they made.Because of them, I never got to have a proper youth. I never got the chance to explore new things or find new people. I kept to myself and pushed people away because I felt no one would ever listen or be there for me. I felt embarrassed for having any emotions, like it was somehow not right to cry whenever my parents abused me. I thought that I was a burden to everyone and that the whole world would be better off without me. It’s hard to move on from these feelings, let alone talk about them. You keep wanting to talk about these things and ask for help, but then some voice tells you ‘you can’t do it’ and ‘no one would understand.’ And so you give up.",ScooterCat,Community Member,03-06-2025,PTSD and trauma,8,/t5/ptsd-and-trauma/struggling-to-move-on/td-p/610949
PTSD-5,I don't know what's wrong with me,I don't know what's wrong with me. I feel like I'm always on an emotional roller coaster. I'm new here. I feel like I've reached out to help from GP before and because I have a child that has high level autism I'm just dismissed with not much mental help I feel like I'm so alone qu I'm sick to trigger I have angry outburst. I cry a lot. I feel so defeated and so alone. I tried to say that I'm going to be better but I feel like I'm stuck in the same cycle and I want so much better for my kids but I just can't seem to get it together,DarkQu,Community Member,11-05-2025,PTSD and trauma,6,/t5/ptsd-and-trauma/i-don-t-know-what-s-wrong-with-me/td-p/610312
PTSD-6,When you can’t avoid your triggers,I know that in 24 hours I will have to be at the scene that triggered a trauma response. I’m anticipating that I will be triggered again and that it will add to the current trauma response I am experiencing. Has anyone been in a similar situation or had to regularly do something that triggers them?I am concerned that even the most minor thing will send my spiralling. Has this been anyone’s experience?,WishyBee,Community Member,20-06-2025,PTSD and trauma,2,/t5/ptsd-and-trauma/when-you-can-t-avoid-your-triggers/td-p/611576
PTSD-7,"Moving forward - slowly , but surely gaining pace.","Hello, I am getting better , but have been through the mill . My credentials as a survivor of child hood sexual and physical abuse are there. As is my illness and many , many hospitalisations for mania over 30 years as a result . I saw Psychiatrists for 13 years , a PTSD Psychologist for 2 years and have been with my current Psychologist for 7 years . So, I have put in the hard yards . SO, I wanted to say - it is possible to become well - even I did . Yes, I am on 80 , webster packed , tablets a week - BUT - people need to know - YOU can get better .",Guest_10220,Community Member,20-06-2025,PTSD and trauma,5,/t5/ptsd-and-trauma/moving-forward-slowly-but-surely-gaining-pace/td-p/611431
PTSD-8,Too much trauma in 2013-2025,"Hi, I’ve been through a lot and I’ve a lot of my unwelcome family members tell me that I have no right to feel empowered. Well I’ve blocked and crossed them off. As I don’t need that. I’ve always had a fairly solitary adulthood. I had isolation from 16-26 but from 12 dealing with childhood and my parents divorcing. I met men and was clinging due to lack of affection and love from my family. The relationships ended usually after a year in disaster. I met men on dating sites. Back then flip phones had limited access to Dating Apps. I always went on chat. I felt I could connect on line. I would still go out. At 18-20 and meet guys in night clubs. But I would always want to talk online. I had a lasting relationship at 17-19 which ladted 2 years. I was kicked out by my parent so I had no choice but to move in with him. When we broke up I stopped seeing my friends. And I took the break up pretty hard. I was really isolated and became even worse so I was manipulated my my older sister to go live at home with my Mum. My mum is Evil. Witch. She feeds off my me falling in life. Not doing well. So she use to call the police on me and kick me out for doing the house work wrong. I was eventually kicked out and I had no choice but to go into a ShareHouse - At 22 - where I met a man who physically assaulted because he made fun of me for my life style. This went on where the Police were called at different properties for 3 Years. Up until 2012. I then went and searched back on line for another comforter and I met a 29 Year old called Joel. Where he assaulted me. And gave me Phycological breathing problems which affected my anxiety. He invited me back to his house. A 30 minute drive. Where he would call the Cops to kick me out, again. He insisted that I keep him as a boyfriend whilst I was trying to get away from him. He abused me through Emails, verbally and then applied to have an intervention order put on me because he abused me. I tried to keep away from him but he kept sending me emails knowing I’d check them, saying things like - I know where’s you live. I told my dad. And the police. My dad I was so estranged and distant from. But the authorities just told me to work on my own Self. I’ve copped it and gone through trauma. Plus been in hospitals and been mistreated for 10 years. I live at the beach. And I Want another reality. I Think. I’m 37.",Halecia,Community Member,12-05-2025,PTSD and trauma,2,/t5/ptsd-and-trauma/too-much-trauma-in-2013-2025/td-p/610362
PTSD-9,My dad has cancer and wants another baby,"I've never done anything like this before. I think I just need to talk because so much of this just gets ignored at home.My dad was just diagnosed with stage 4 cancer the other day. He's been given at max 5 years to live. A random bump on his neck and BAMN... No more dad soon. I got told I wasn't allowed to be sad or cry. All he wants is for everyone to be happy and pretend everything is normal. It's not normal. My step mother refuses to admit it's there. Says I'm trying to cause problems by talking about it. Mind you it's been 3 days since the diagnosis. I'm the eldest of 5 kids (on my dad's side), being 20 years older than my youngest sibling. And the minute he told me all I can think about is how my little sister is going to grow up without a dad. Him and my step mother had been trying for another baby for a year before they had her. As much as I disagreed with my 55 year old father having a newborn it wasn't my say. But now it seems even more selfish. They want to try for another baby before he goes. And I just can't take it. They keep pretending like everything is fine. That they just want to experience life and have a big family. I'm 21 and have to cope with the fact I won't have a father anymore. How can they expect my 10 ye old and younger siblings to understand? He already wasn't going to see my sister graduate high school. Now he won't even get to see her go. They already didn't have the father I had growing up due to his age, and now they will have none. Anytime I try to acknowledge or talk about this they shut me down hard. Tell me I just need to ""think positively"". About all the good times we will have until then. But all I can think about is after. A life where I don't have my dad anymore. A life where my siblings will see a photo of him and have no idea that's their dad. I don't think I can smile and pretend everything is ok. Not when I'm the one driving him to surgeries and radiation. Not when my little siblings ask if dads ok. Not when all they want to talk about is trying to have another baby. I know they might just need more time to process what's happening, but I'm just so scared. And being quiet and smiling isn't helping.",Guest_50069561,Community Member,09-06-2025,PTSD and trauma,1,/t5/ptsd-and-trauma/my-dad-has-cancer-and-wants-another-baby/td-p/611119
PTSD-10,sexual assault and relationships,"When i was 15 i was sexually assaulted by my boyfriend at the time on several occasions. I never pressed any charges against him because i was really young and scared of what would happen. Since then I've been drugged and taken advantage of by a number of guys since which has really destroyed my self worth and confidence. As a result of this I've developed generalised anxiety disorder which has further impacted my everyday life. I now go to uni and don't speak to anyone, stay in my room the majority of the time and it's been 4 years since it first happened. I've tried to get into relationships since but it feels like my brain always tries to pick apart every guy and find a reason not to trust them so I haven't been in one since because i usually end it before i can get hurt. I just want to be able to live a normal life again but reaching out and talking to actual people about this is way too hard for me to do still. I want to get better, but taking those steps feels impossible for me still. I just feel like I'm forever trapped in a loop of not being able to trust anyone, and picking apart good people for the smallest of reasons. Right now I'm talking to someone again who I really care about and I feel it happening again but I really don't want to ruin this again. I want to be able to trust this person but I'm terrified of enduring that abuse again. I just want to move on with my life but I don't know how to since I've never talked in depth about what i went through with anyone.",anonymous73737,Community Member,09-06-2025,PTSD and trauma,1,/t5/ptsd-and-trauma/sexual-assault-and-relationships/td-p/611088
