Topic,Count,Name,Representation,Representative_Docs
0,6108,0_anxiety_feel_like_work,"['anxiety', 'feel', 'like', 'work', 'go', 'time', 'know', 'think', 'day', 'year']","['anxietypanic disorder hi guy new easy know hope maybe tip advice able share story recently quit job lot stress anxiety   nearly   diagnose clinical depression anxiety end quit job anxiety start get bad bad begin panic attack soon enter work work place deal able focus work quit job begin experience panic attack like go supermarket sit home partner situation million time life time understand happen like bring panic attack start happen begin new medication get medical certificate doctor say unfit work anxiety panic disorder   month ago begin notice well anxiety bit day night get upset horrible thought head like disturb thing think horrible scare tell awful lead whelm end tell partner night drive crazy google anxiety disturb thought find normal boyfriend suffer extreme anxiety feel embarrassed tell horrible lot positive people feel maybe post maybe help relate tip deal extent anxiety mental health issue breif outline kind happen advice appreciate like say get people talk quiet person bottle thing like like tip come bottle stuff open feeling thank', 'seek help vent hi sorry right place hope advice seek professional help past week feel depressed fall work think pass weekend today feel bad take afternoon spend day bed feel frustrated know feel like especially feel guilty able work junior job struggle consistently get work get well learn long make progress fine recently issue motivation focus start fall feel bad want ask decide doctor option think give week bounce past year time seriously consider seek professional help guess surprised feel way right decision end manage carry have occasional breakdown time job realize function like lot people life right reach move new town struggle opening kind thing long wait try decide gp therapist point contact gp sorry sure ask sure heap resource answer question want tell past year struggle depression know read close come have feeling understand write scared go carry address problem know know end rant end feel little well get like thank listen', 'hard know anymore start 21yr old female type person naturally emotional sensitive hard realize problem think past   month believe suffer depression get bad bad start mood feel life feel sad lonely time little reason find cry small reason reason hard pin point depressed work stressful job require foot 8hrs straight break unpaid overtime daily shift work consist late night overnight work weekend add level responsibility take home home relax mind come work let unhappy job spend   hour week draining work late night weekend strip social life little time family partner miss people miss old life work job hour survive frantically look new lot hard 5yr experience profession believe job trigger feel come home little energy feel dead time stay bed forever tiredness stress want withdraw bit spare time rest come home cry feel feel like stick place bad job strong person confidence smile time independent bright people look advice look forward thing know anymore enjoy thing feeling anymore like good feel feel high life feel like stick rut disappoint eat properly consistently anymore mainly home want sleep break work energy motivation thing organize like truly need good fake happiness fake smile know go partner worried change go doctor help afraid open good talk stranger opening bad thing feeling constant pain tear feeling weakness want die idea long life way']"
1,1688,1_feel_help_know_like,"['feel', 'help', 'know', 'like', 'want', 'ocd', 'time', 'year', 'life', 'sleep']","['sure everyday struggle maybe close year like enjoy day wait pass night time sleep feel like like enjoy thing anxiety little bit well think feel positive emotion maybe minutely feel relax moment feel like wait night come bed force know depression have fourth psych session tuesday depression maybe mildly impact long diagnose gad year ago ocd child anxiety familiar bad mind numb anxiety constant panic attack negative feeling real bad anxiety period year ago think depression stememd make sense despite have anxiety love talk people different thing explore world like want sit feel like pass time sleep hope wake bit well tomorrow frustrate pretty good life amazing partner friend use social strugggle work short hour newish job family super awesome feel positive feeling anymore want engage make feel bad know sort person positive situation positive upset maybe make progress new stick like day strength laugh bit engage conversation bit act well thing fully feel progress like forever love joke make people laugh make feel good like care hate thank bunch read sorry read lol', 'grateful advice hi new hope ramble like idiot guess explain worried mental health know help time uni student afford high fee try talk age ago ask mental health program shut send way handful antidepressant benzodiazapine help background experience happy depressed past week hit rock weekend spend time home ignore world want kill sister cope hopefully go low come close hurt write boyfriend letter explain indulge help harm relieve bit pain self harm long remember get bit well enter good relationship start year see obviously boyfriend time push away frustrate right leave like angry contact angry nasty say horrible thing nice like complete opposite hardly sleep feel world feel like everything fall place come grand plan study moment different course finish degree finally   hate want work field grand plan start clean time people house finish sentence mind go fast mouth thing stupid situation time thing illegal immoral like know wrong weird thing number stand number slight irritated thing write thing hand time fit certain pattern look feel like go long apologise generally try calm drink heavily frequent basis work self medicate way past know maybe   year significant life event sexual attack major leg injury major death family people want use word normal think guess fit guess write similar experience andor idea wrong advise help cope anymore lot friend boyfriend happening control mouth action feeling yeah think go time thank listen chance anyone bother read miserable brief mind far offer advice eternally thankful yeah thank care oh   year old female make difference', 'probably rant tip let know ground stuff   school blue seminar find helpful maybe relate past friend til year ago covid juggle school work care mum go hospital lot walk easy talk extremely bully school certain person say die like stuff feeling away think want talk know go year forget join toxic friend group know have friend like think normal shut ignore anyways start sick feel start feel point completely numb care die think care know depression purposefully hurt feel find way god realise purpose leave friend group new friend start new chapter feel happy   lately try hard wonder thing change depressed think overthinke anxious know get thought parent die people hate fail school lose friend scare talk case shut zone imagine terrible scenario cause   get chronic headache   itching   fiddle   breathing fast   nausea   dizziness   weaknessfatigue stand   splitting headache   bite lip know thing effect time time make life difficult cause leave class pretend bathroom reality feel like go breakdown crying panic attack puke hate tell want advice like tell tell scared thing bad notice know people care know notice time make sense know life easy think life good right consider function sure talk friend notice scared think trust hope read feel nice know completely feeling stay safe love3']"
2,1267,2_feel_want_relationship_know,"['feel', 'want', 'relationship', 'know', 'year', 'like', 'time', 'love', 'partner', 'thing']","['new ramble hi join   remember start fresh anxious reach bear hi   year old decide post feel know point diagnose generalize anxiety disorder   abandonment issue   believe real diagnose year mum move house   year move partner   year move small cottage door block hard moment feel like depression low time energy lose interest thing like bed find hard day day task feeling leave school bother leave home   year ago depression hard mum obviously brother feel comfortable tell mum feel like difficult tell feel mask emotion get exhausting hide mum believe spectrum birth young age hard process medication see therapist go therapy work kid   anymore interest possibly consider group therapy social anxiety hate thought meet new have far life story plus talk feeling stranger hate talk self sure work people happy help keen go medication bad effect time talk friend leave school young age time think conversation age   year ago want know feel way think need connection sorry hope sense rewrite time thank take time read', 'come hey know turn stuff thing go right lately try water detail hard firstly suffer depression anxiety mild bipolar   thing turn bad   incident lead self harm cutting eventually suicide attempt medicate thing eventually calm thing heal say manage   early year thing start rear head get time job unrelated ideal career force leave second week severe anxiety panic attack happen   month ago job stage think isolated incident lot pressure reach dream job give graduate   year get job degree stressful long story relate work issue main issue post today anxiety attack lead doctor issue time   year prescribe antidepressant recommend psychologist initially feel help end hard tell give leave job time real issue antidepressant affect badly good mental issue physical effect gp recommend thing sit normal level recently change come mental emotion mention long term relationship recently feeling partner diminish recently meet person connect online bit chat pretty day good friend meet person basically feel close friend get know gradually find have feeling eventually discover fact love diminish feeling current partner sure love thing girl go fine go tell true feeling past experience go bad case relate previous bout depression   need thing come head recently conversation basically truth come find like night thing turn little weird amount couple day non talk day literally stop think single second knot tie body shake literally obsess check online wait message go   day talk basically long gone give literally talk day   month kill try way message space cave tonight message thing fine joke like old time ask cool basically fob ask ask thing like ask want skype say yes come make excuse long story shorti know admit crush think stage thing get weird basically point spill shake feeling kill badly function day day level feel urge come inside young scare know option seek help honestly help past help time feel maybe antidepressant packet script refill work actually issue goddamn lonely need people talk build people close life leave interstate overseas literally troll internet intervention come know desperate person speak come attention needy terrible situation right know take lot courage post feel tell story way damn long great meet people chat experience try help help greatly appreciate', 'exhaust lie people care post long time making reason feel explain feel exactly think depressed think get bad wonder lazy achieve life like maybe make explain   year existence achieve recall time   year happy extended period time ask dr year ago feel awful sleep   constant tightness chest say go rough patch life terrible relationship hate job thing friend start change figure probably right thing well fast forward today thing well hardly get well boyfriend   year say negative person know come person love world want know awful time cry   feel bad spotlight feel lose cry day good great right awful share feeling partner family talk stuff feel like act ok long time know truthful long line depression family hate thought come weak want share feeling guess come instead current situation unemployed lose job year job   month anxious physically sick entire time   handle resign boss tell want great job absolutely income   have borrow partner pay personal bill debt apply job get absolutely response study online meantime sleep pattern drastically change bed 5 11 12 pm motivation anxious talk phone live town friend unable friend social get hard   hard go thing go talk go long know start feel like normal happy feeling normal truly happy remember like people genuinely happy know feel want act anymore exhaust lie people care feel awful tell mother thing great early morning disappoint actually wake sit   minute contemplate push post thread button afraid wrong thing push   hope able offer kind insight thank advance']"
3,1361,3_feel_life_like_know,"['feel', 'life', 'like', 'know', 'bipolar', 'year', 'want', 'day', 'time', 'go']","['major health anxiety think hello read hey read probably see title think relate sorry hear wish good time write like bare go share experience hope make feel have think health relate anxiety probably year pretty everyday thing think wake thing think sleep health specifically think thing wrong happen people thing wrong create scenario head happen diagnose fatal disease time feel think wrong straight away google try figure wrong end find cancer relate lifethreatene build bad case scenario thing head spend everyday constantly worry health panic attack google symptom think experience end mess nonstop worry frequently interfere thing school personal life aside feel like different person year ago anxiety carefree person love life stress life stress worry like pretty good hide people doctor time er symptom think have doctor say stress thing like poor posture lack exercise stuff like answer worry thing thank read pretty long boat leave comment appreciate', '  week   well place live car drive job regular income thing want life get thing go life live day stick tell disassociate old friend feel depression pull lonely lose life work good talk meet people easy life life want fun live like feel way feel like try good travel house work hard get career wise love heart totally smash piece drug addict criminal rehab recovery help feel like lot   year bad thing end stop have day bed love ticket get mad upset know point live like anymore hard have depression   year feel like achieve life try hard thing well point lost possible deal anymore run strength pretend good like think hate stupid illness   wish   think beat trust try', 'bipolar look guidance hi new diagnose bipolar   month incorrectly diagnose major despressive disorder   year suffer bad social anxiety   year old female struggle day bipolar   different type medication help control hold job mania intense depression bad money problem centrelink study continue study brain dead stay focused hard process information time leave house doctor appointment psychologist financial support mum boyfriend insist fine make feel helpless get friend finish school know mental state feel like need job study like age extended family member rudely point unstable mood extreme anxiety leave house feel practically impossible feel trap inside head day day wish psychologist money issue month lucky mental health plan try go local mental health unit thing psychiatrist tell lose weight slightly overweight medication friend confident public mental health unit anymore hear feel like fault maybe physically impossible try act okay mum stress work rest brother   confidence self esteem try improve body positivity exercise day lose weight go help go head fear develop addiction exercise conscious eat calorie consume day struggle mentally physically feel life lack substance mentally tired time hard try stay positive constantly dull state know turn anymore']"
4,332,4_eat_food_feel_friend,"['eat', 'food', 'feel', 'friend', 'depression', 'like', 'anxiety', 'weight', 'time', 'know']","['struggle isolation hi have hard time get isolate pandemic feel like degree social distancing thing completely normal know thing improve lot people way way go social struggle bad social anxiety feel situation bad pandemic try social lot thing plan try time friend completely awful socialise friend struggle reach people majority pandemic bad pretty speak hardly message call hear know time want reach people guy meet start pandemic date pretty speak everyday end break thing get difficult feel like go completely lonely talk people parent people work feel like complete mess feel like spend time past month know normal friend want play game online today feel anxious feel like want plan want reach guy see early catch feel motivated feel good right point see talk know time good stay close feel like lot people probably social feel stupid have hardly especially want work year know lot bad thing go world right situation definitely bad wish break feeling like know', 'new friend hi post feel kind lonely moment year super busy year lead lose lot friend spend year work study make time people feel capacity heavy load priority think friend understand completely stop invite thing start ignore text like see break study day time guess feel pretty upset kind like mess break study december think chance finally lot bother reach constantly see post thing social medium reach like interested instead dwell realise time lot friend time year supportive try achieve goal life work future want bother anymore go jeopardise study drunk weekend want work save house turn important birthday soon time guess point hurt guess wonder people new friend good kind thing pretty bad social anxiety terrible go talk people feel silly like know walk find hard thing go meet new people maintain connection people actually friend terrible new year resolution year actually try social give heavy load year fun want enjoy year want improve social life time people want feel lonely dump year advice appreciated', 'need help hi sure start post   year old female adhd specific language impairment anxiety depression   social anxiety maybe ocd trouble socialize feel socially awkward time family people treat different disability trouble make friend feel like time people want talk bother talk people instead life happen like primary schoolhigh school tafe make feel like good enoughthat want friend hurt feel lonely friend past end lot effect life friend feel like damaged person want friend want people talk want spend time feel hurt people sister bother talk talk family go meet play board game woman find difficult socialize counselorspsychologist help life deal mental illness anxiety bit ocd high school anxiety bad lose mind lose control tell wrong include school counselor think normal think weird anger problem feel hurt adhd feel like lose angry easily feel like horrible person thing wrong life self esteem self worth want happy normal life have trouble get job apply want job day home moment try license l plate   year confidence drive know want friend home job p plate ask feedback help thank']"
5,1102,5_mum_year_mother_family,"['mum', 'year', 'mother', 'family', 'feel', 'know', 'tell', 'life', 'want', 'like']","['know turn hi guy time post     kind find   mode return head space know life   year build wonderful personal life sadly recently fall close family member end incredible betrayal recent wedding couple month ago try turn ammunition well person well life currently work casually enjoy lot hour know sign want physical job stress try figure life prior recent job work fulltime role   week like feel uncomfortable leave earn pay bill put stress husband simply act want work feel like company   let face start sort study go earn money   think option great detail study   time drop start resent wish know turn unfortunately claim bankruptcy couple month emotionally come term look forward eliminate background stress life suppose thought feeling annoy hold job figure want simply feel like energy work time job stupid sound stay casual role go know simple solution apply get sound good interest lack well term bother work like life strong independent job time reason fall like tonne brick shortly', 'life come know post recently know depressed think unlucky life good person people use think eventually good person work hard life work good   terrible life friend reach reach feel avoid function awkward especially ask shit life ruin mood want happy time go real estate actually good decision want well improve career hit wall bad time people horrible people unlawful thing good life try right thing friend offer world office go hill want help sea help office stuff offer job   month shit job labour boss treat like rubbish mentally drain accept pay cheque poor make cry disappointment bad people add girlfriend give happy like want big date fun time person time state like see bad luck depression excuse maybe open depression month ago start conversation want happy know friend reach tell work breakup run like conversation guess life need accept people mean happy know life accept lucky   dog company stay path provide know happy happy possible sorry rant guy speak cry', 'frustrated want change hello   year old finally realise need acknowledge thing constantly think head people consider normal write read lot people thought give confidence post feeling hope maybe help light spend wake hour think way maybe thing long remember want share bad habit analyse social situation kind event relive exact detail word say conversation possible angle annoy bad answer stupid question convince person remember perceive idiot bad stranger family member close friend pizza delivery guy centre operator etc etc forever relive past conversation happen year ago frustrate particular action take thing say convince thing leave impression feel eye way say goodbye avoid place shop work like butcher chef worry hour hand   minute banter whilst wait order convince leave negative thing like idiot boring etc start avoid see good friend goddaughter think run thing look foolish bored recently leave house walk street think everybody pass look judge go cafe word need use head walk order coffee people sound completely ridiculous know completely irrational server coffee shop remember guy say hello latte strange way morning help consider reasonably intelligent suffer intellectual selfesteem issue help constantly think hair look stupid walk funny drink water bottle loudly convince look shop assistant give look strange frustrating know sense stop repeat thought drive crazy matter sleep rarely feel normal awake happen feel dizzy slightly touch like like little cloudy slightly dreamy hard find word describe adequately know mean drink lot alcohol bottle red wine equivalent night pretty year recently study cut manage stop week think add feeling turn give cigarette guess excuse try work problem despite negative thought honestly think people know happy confident include girlfriend year know frequent rotation thought generally cope alright outwardly sure know mean tiring know problem debilitate people guess love know similar thought work think step start write think gp probably send home tell tell put paper example kind realise bend life stuff sure consume think feeling sure lot people familiar look past find time right high school feel struggle socially know change aware recently hate idea medication form probably take handful nurofen past year hope option feel happy having step thank read']"
6,296,6_help_daughter_school_anxiety,"['help', 'daughter', 'school', 'anxiety', 'year', 'know', 'child', 'want', 'time', 'try']","['  year old life fill regret want quit university hi bit start study environmental science university year friend high school long term social anxiety depression finish master environmental science spend year look job success spend time work parent business time forget know note fall eventually decide bachelor business accounting second semester second year halfway semester lose interest subject push parent say waste time quit uni feel motivation energy ability study   minute check phone mind study work placement year start semester soon need start apply work resume interview etc hate make stupid decision want quit anxiety depression overwhelming passion lose interest hobby feel like live sake want psychologist wait time month place call face face appointment anymore feel able survive long day bring nonstop stress think assignment test future day night wish work parent business help way future prospect look good look like go live course care struggle remember material memory get bad try change study live guilt having waste   year life go feel equally shitty', 'feeling burn hi want post feel great moment juggle time work uni start drain spend weekend day work come home study assignment shift day wednesday thursday class uni try work feel overwhelmed know similar situation year reason cope semester feel like head go explode literally end year close friend move away different reason feel have take toll start feel feel like time try make new friend right want focus uni day feel get start feel like cope wait long work hire new work screw heap application forever pick person interview time end work want quit job tired boss selfish income centrelink study long try apply job time hear love people cope kind thing feel like reach limit feel lost feel like suck semester time feel awful day feel awful time go yeah advice greatly appreciate', 'struggle mental health school hi year   struggle school mental health bpd depression anxiety lose motivation school month ago stop work far subject feel real point clue future want school overwhelmed work stay home feel like go fail school uni feel like option limit make depressed think goal therapist grade poor know happen plan b art teacher feel like graduate friend family talk thing day read book watch comfort show overwhelm feel like look forward idea help']"
7,601,7_work_job_year_feel,"['work', 'job', 'year', 'feel', 'time', 'go', 'know', 'like', 'want', 'life']","['suicidal hi lately hate life guess get point want pain end want kill want make sense time feel hopeless lose enjoyment thing love feel let actually care day wake confused mean suicidal anxiety depression couple phobia hard live life feel like kind point keep go like future go life school moment bad make feel bad day spiral despair feel like go end parent try help time feel understand go honest understand go thank read 400mrunner', 'trigger warning want go lonely friend lose good online friend friend feel like like care go tired scared want die want kill self stop think day world big live like want live want self peace painlessly leave cause pain alive want want live anymore get point love parent selflessness care kill self want hate hate hate feeling hate want want sleep wake cruel world let die dead know cause hurt pain stay want feel pain know tell kill honestly well feel like alive want feel anymore pain want dissolve numbness', 'feel real care people alive slowly dissolve away minor assume easy life wish friend lonely afraid friend inflict depression like virus spread people love anymore love point existence live good life want hide away world want see wonder sick dream real wish feel like past year lose ment family love happiness gratitude friend think want real know people like help feel want talk little thing like day talk speak parent understand know typical teenage thing guess true know okay think well know tell clue help speak med think think nice little gift like shirt like little happy okay know sound selfish like wealthy kid shit wish mean sweet make feel like dog feel feeling maybe bad sure think want feel afraid feel time know good mad want run away inside tear apart swallow sure try want help know current situation lonely want friend sure want find reason live know look know']"
8,443,8_drive_work_house_live,"['drive', 'work', 'house', 'live', 'feel', 'like', 'dog', 'home', 'want', 'time']","['feel like go explode hi idea right place know relate anxiety fit guess make anxious sorry wrong place good happen feel happy poor way put feel love world want cry feel like head race   mile hour stomach squeeze heart beat like mad limb fire like go explode moment burst flame world get energy way release hate make wish people dead feel way particular think positive feeling right hurt terribly understand feel good feel awful time like impossible feel little bit psychologist mainly anxiety understand think experience anxiety thought lose current happiness make sense feel impossible explain like see talk similar feel like begin touch allconsuming terrify feel dangerous guess know feeling hurt feel like lose control mind stupid sorry   guess want rant hate have feel', 'feel like lose mind hey guy post   year old male suffer anxiety overthinker constant worrier lately feel like get bad sure case anxiety make think maybe past   year suffer bad brain fog feel like thought clear memory good brain fog scare think beginning lose mind anymore good way describe feel like zone   feel tired plenty sleep night sure imagination feel zoned surround bright light think maybe wrong brain physically think anxiety need find way cope anxious visit doctor time different thing health anxiety probably think lunatic depression feel like overly depressed feel sad feel feel like float life feel like go crazy thing edge alcohol benzo want end dependent sure look post guess want vent suffer hopefully find way deal similar issue want old self enjoy day think clearly day feel like get hard hard thank read', 'preeeety feel craycray guess want vent know go currently sit work desk time job write bit piece answer call email actually mind job face negativity day essentially job actually try motivate people myselfand pretty   feel wish listen advice mean tell people essentially suck move word course haha suffer depressionor anxietyor manicgod know figure     year think reason hard diagnose internal gp talk   minute definitely go good grasp personality outside completely capable live normal life   work day extremely physically fit healthy live lifestyle think lot people envy lucky find set heart achieve answer come problem matter life matter opportunity present matter achievement feel horrible useless inside inside head constant barrage stupid crazy thought negative self speak frustrated feelingssometime thought incredibly frustrating feel like get point low mood day snap angry people close small thing jointand think actually kind normal week   boom end psychotic cry helpless feeling state cry cry want screamand know think actually trigger happen dismay poor long term partner think imagine gf madand start realise way make feeli feel like start wonder end well etc etcand honest think thankful hug patience start feel guilty tough boy   pure strong confident alpha maleand cry multiple occasion feel helpless hate hate hate feel way doctor councillor pychs etc   guess able stick particular long find issue finance   government pay fee helpi leave cover rest bill charge understand right life life partner change currently build business like idea work corporation make money else dream haha afford look damn brain whilst psych chair feel get lot help like say look like okay tell actually suprise sad want beat head wall hard actually think loud try understand feel thought clear line able tell people actually think feel friend feel like spare pain know brainthought bother talk cover humour know think partner actually know messy guess wish figure right thingsi look work try sleep properly try work future eat set goal surround motivated love human feel like knot heart terrible emptiness feel disconnected remember feel like truly happy kill inside know thati wish wake morning bounce bed happiness confidence preempt go immediately regret post second hit little pink button know hate people know think know hate judgementbut screw guess deal later lol rant sorry read hahaha']"
9,400,9_suicide_selfharm_cm_support,"['suicide', 'selfharm', 'cm', 'support', 'time', 'feel', 'help', 'know', 'false', 'like']","['fight battle exist feel like life wrong think bad breath away give stop beautiful daughter lift spirit have bad day like reason goingthe bad half problem fear probably existis feel like give everyday bed lie bed 3 worry think hell wrong mei need well girl beyondblue clinicallytraine moderator work offline invisible issue relate suicide selfharm time general supportive comment community encourage concern suicide selfharm phone support service     normal   false false false enau xnone xnone   style definition   tablemsonormaltable msostylenametable normal msotstylerowbandsize0 msotstylecolbandsize0 msostylenoshowye msostylepriority99 msostyleparent msopaddingalt0 cm 54pt 0 cm 54pt msoparamargintop0 cm msoparamarginright0 cm msoparamarginbottom100pt msoparamarginleft0 cm lineheight115 msopaginationwidoworphan fontsize110pt fontfamilycalibrisansserif msoasciifontfamilycalibri msoasciithemefontminorlatin msohansifontfamilycalibri msohansithemefontminorlatin msobidifontfamilytime new roman msobidithemefontminorbidi msofareastlanguageenu', 'depressed helloi 25yr old life year ago thing crumble slowly mum take bad turn attempt suicide suffer depression anxiety year lately bad leave house lay depressed affect live year leave job year havnt find suitable job know want feel like depressed find job put guilt have new job like beyondblue clinicallytraine moderator work offline invisible issue relate suicide selfharm time general supportive comment community encourage concern suicide selfharm phone support service     normal   false false false enau xnone xnone   style definition   tablemsonormaltable msostylenametable normal msotstylerowbandsize0 msotstylecolbandsize0 msostylenoshowye msostylepriority99 msostyleparent msopaddingalt0 cm 54pt 0 cm 54pt msoparamargintop0 cm msoparamarginright0 cm msoparamarginbottom100pt msoparamarginleft0 cm lineheight115 msopaginationwidoworphan fontsize110pt fontfamilycalibrisansserif msoasciifontfamilycalibri msoasciithemefontminorlatin msohansifontfamilycalibri msohansithemefontminorlatin msobidifontfamilytime new roman msobidithemefontminorbidi msofareastlanguageenu', 'hard feel like suppose happy want reason life feel like have good thought bad year sure anymore beyondblue clinicallytraine moderator work offline invisible issue relate suicide selfharm time general supportive comment community encourage concern suicide selfharm phone support service     normal   false false false enau xnone xnone   style definition   tablemsonormaltable msostylenametable normal msotstylerowbandsize0 msotstylecolbandsize0 msostylenoshowye msostylepriority99 msostyleparent msopaddingalt0 cm 54pt 0 cm 54pt msoparamargintop0 cm msoparamarginright0 cm msoparamarginbottom100pt msoparamarginleft0 cm lineheight115 msopaginationwidoworphan fontsize110pt fontfamilycalibrisansserif msoasciifontfamilycalibri msoasciithemefontminorlatin msohansifontfamilycalibri msohansithemefontminorlatin msobidifontfamilytime new roman msobidithemefontminorbidi msofareastlanguageenu']"
