condition;symptom_short;symptom_desc;representative_words
Depression;Anhedonia;Little interest or pleasure in doing things;anhedonia, disinterested, apathy, bored, indifferent, diminished pleasure, lack motivation, lack enthusiasm, low engagement
Depression;Sad mood;Feeling down, depressed, or hopeless;sad mood, depressed, hopeless, down, empty, low mood, dysphoria, melancholy, emotional despair 
Depression;Sleep;Trouble falling or staying asleep, or sleeping too much;insomnia, sleepless, trouble sleeping, hypersomnia, oversleep, too much sleep;
Depression;Energy;Feeling tired or having little energy;fatigue, tired, exhausted, low energy
Depression;Appetite;Poor appetite or overeating;appetite, poor appetite, undereating, overeating, hyperphagia
Depression;Guilt;Feeling bad about yourself or that you are a failure or have let yourself or your family down;guilt, self-blame, self-loathing, self-disgust, let down, failure, inadequate, defeated, family disappointment, unworthy, embarassed, burden, disgrace
Depression;Concentration;Trouble concentrating on things;difficulty concentrating, poor focus, distractible, short attention span, inattentive
Depression;Motor; Moving or speaking so slowly that other people could have noticed? Or so fidgety or restless that you have been moving a lot more than usual?;psychomotor retardation, psychomotor agitation, sluggish, lethargic, slowed, fidgety, agitated, hyperactive, jittery, restless;
Depression;Suicide;Thoughts that you would be better off dead, or thoughts of hurting yourself in some way;suicidal thoughts, suicidal ideation, self-harm thoughts
Anxiety;Nervous;Feeling nervous, anxious, or on edge;nervous, anxious, on edge;
Anxiety;Control worry;Not being able to stop or control worrying;worrying, can't control worrying, can't stop worrying;
Anxiety;Too much worry;Worrying too much about different things;worrying, too much worrying;
Anxiety;Relax;Trouble relaxing;trouble relaxing, can't relax;
Anxiety;Restless;Being so restless that it's hard to sit still;restless;
Anxiety;Irritable;Becoming easily annoyed or irritable;annoyed, irritable;
Anxiety;Afraid;Feeling afraid as if something awful might happen;afraid;
PTSD;Disturbing Memory;Repeated, disturbing memories, thoughts, or images of a stressful experience from the past?;disturbing memory, disturbing thoughts, disturbing images;
PTSD;Nightmare;Repeated, disturbing dreams of a stressful experience from the past;disturbing dream, nightmare;
PTSD;Flashback;Suddenly acting or feeling as if a stressful experience were happening again (as if you were reliving it)?;reliving, flashback, intrusive recollection;
PTSD;Triggered;Feeling very upset when something reminded you of a stressful experience from the past;triggered;
PTSD;Physical Reaction;Having physical reactions (e.g., heart pounding, trouble breathing, or sweating) when something reminded you of a stressful experience from the past?; heart pounding, trouble breathing, sweating;
PTSD;Avoidance;Avoid thinking about or talking about a stressful experience from the past or avoid having feelings related to it;avoidance;
PTSD;Avoidance;Avoid activities or situations because they remind you of a stressful experience from the past;avoidance;
PTSD;Amnesia;Trouble remembering important parts of a stressful experience from the past;trouble remembering, amnesia;
PTSD;Anhedonia;Loss of interest in things that you used to enjoy;anhedonia, disinterested, apathy, bored, indifferent, diminished pleasure, lack motivation, lack enthusiasm, low engagement;
PTSD;Detachment;Feeling distant or cut off from other people;detached, withdrawn, alienated, isolated, distant, cut off, estranged;
PTSD;Numb;Feeling emotionally numb or being unable to have loving feelings for those close to you;numb;
PTSD;Pessimistic;Feeling as if your future will somehow be cut short;pessimistic, hopeless, bleak, doomed;
PTSD;Insomnia;Trouble falling or staying asleep;insomnia, sleepless, trouble sleeping;
PTSD;Irritable;Feeling irritable or having angry outbursts;irritable, angry, aggressive;
PTSD;Concentration;Having difficulty concentrating;difficulty concentrating, poor focus, distractible, short attention span, inattentive
PTSD;Alert;Being “super alert” or watchful on guard;alert, hypervigilant;
PTSD;Jumpy;Feeling jumpy or easily startled?;jumpy, startled;
